"","Df","SumOfSqs","R2","F","Pr(>F)"
"reefsite",11,143.064215991655,0.370235278939382,83.7334759064487,0.001
"core",43,32.7233901339817,0.0846847228017077,4.89948711981458,0.001
"as.numeric(bins)",1,2.08528547037568,0.00539650144126757,13.4253712173665,0.001
"reefsite:as.numeric(bins)",11,19.7301641901842,0.0510596083852216,11.5477879384278,0.001
"core:as.numeric(bins)",43,30.380554413918,0.078621708159545,4.54870765022737,0.001
"Residual",1020,158.430716391053,0.410002180272872,NA,NA
"Total",1129,386.414326591169,1,NA,NA
