"","estimate","std. error","z","p","reVar"
"tax_novel",-3.6726773064094,0.191366931878654,-19.1918074369204,4.33304110272175e-82,0
"tax_instant",-3.47306194289017,0.17413678180136,-19.9444477321967,1.67489424402984e-88,0
"tax_cumul",-3.67002224584852,0.294193975379084,-12.4748382121677,1.02414003925707e-35,0.477782262436015
"fun_novel",-4.464763463034,0.353539410823747,-12.6287574350795,1.46574476119635e-36,0.0220430014325355
"fun_instant",-4.71849887117185,0.317632412313749,-14.8552184482705,6.43578121742207e-50,3.76971746089789e-14
"fun_cumul",-4.65236274120827,0.465793768508226,-9.98803130430053,1.71963012856546e-23,0.48507772715192
