"","Df","SumOfSqs","R2","F","Pr(>F)"
"reefsite",11,7.17306619916153,0.372224902264442,74.6297665620001,0.001
"core",43,1.25830423219226,0.0652959497155409,3.34901529654532,0.001
"as.numeric(bins)",1,0.0375994057214335,0.00195110915350225,4.30309476219161,0.015
"reefsite:as.numeric(bins)",11,0.69509821632807,0.0360700512797647,7.2319167538549,0.001
"core:as.numeric(bins)",43,1.194202957626,0.0619696050258404,3.17840778879146,0.001
"Residual",1020,8.91251435428055,0.462488382560904,NA,NA
"Total",1129,19.27078536531,1,NA,NA
