"","estimate","std. error","z","p","reVar"
"1",-3.61861023001174,0.270820624757601,-13.3616493693957,1.01294505077902e-40,0
"2",-5.17990913549502,0.578970656671735,-8.94675589480163,3.66082638939847e-19,0
"3",-3.54769978911172,0.261888292038926,-13.546614709238,8.29691597971577e-42,0
"4",-5.17990913536614,0.578972646341519,-8.94672514858442,3.66184583008091e-19,6.48196936053635e-17
"5",-3.63273467064089,0.427506588507509,-8.49749399962074,1.93727512808442e-17,0.366503361213178
"6",-3.89341854279667,0.394528747226466,-9.86852940417489,5.69940370677526e-23,0.0409134035159989
