"region","mid_lat","mid_lon"
"Frankland Islands",-17.200148,146.057324333333
"Hervey Bay",-25.2393672307692,152.864381615385
"Keppel Islands",-23.1864622307692,150.944585153846
"Palm Islands",-18.8251128,146.4709578
